Date,Price
10/24/2018,"105,000"
10/25/2018,"105,000"
10/26/2018,"105,000"
10/27/2018,"105,000"
10/28/2018,"105,000"
10/29/2018,"105,000"
10/30/2018,"105,000"
10/31/2018,"105,000"
11/01/2018,1
11/02/2018,1
11/03/2018,1
11/04/2018,1
11/05/2018,1
11/06/2018,1
11/07/2018,1
11/08/2018,1
11/09/2018,1
11/10/2018,1
11/11/2018,1
11/12/2018,1
11/13/2018,1
11/14/2018,1
11/15/2018,1
11/16/2018,1
11/17/2018,1
11/18/2018,1
11/19/2018,1
11/20/2018,1
11/21/2018,1
11/22/2018,1
11/23/2018,1
11/24/2018,1
11/25/2018,1
11/26/2018,1
11/27/2018,1
11/28/2018,1
11/29/2018,1
11/30/2018,1
12/01/2018,5
12/02/2018,5
12/03/2018,5
12/04/2018,5
12/05/2018,5
12/06/2018,5
12/07/2018,5
12/08/2018,5
12/09/2018,5
12/10/2018,5
12/11/2018,5
12/12/2018,5
12/13/2018,5
12/14/2018,5
12/15/2018,5
12/16/2018,5
12/17/2018,5
12/18/2018,5
12/19/2018,5
12/20/2018,5
12/21/2018,5
12/22/2018,5
12/23/2018,5
12/24/2018,5
12/25/2018,5
12/26/2018,5
12/27/2018,5
12/28/2018,5
12/29/2018,5
12/30/2018,5
12/31/2018,5
03/01/2019,1
03/02/2019,1
03/03/2019,1
03/04/2019,1
03/05/2019,1
03/06/2019,1
03/07/2019,1
03/08/2019,1
03/09/2019,1
03/10/2019,1
03/11/2019,1
03/12/2019,1
03/13/2019,1
03/14/2019,1
03/15/2019,1
03/16/2019,1
03/17/2019,1
03/18/2019,1
03/19/2019,1
03/20/2019,1
03/21/2019,1
03/22/2019,1
03/23/2019,1
03/24/2019,1
03/25/2019,1
03/26/2019,1
03/27/2019,1
03/28/2019,1
03/29/2019,1
03/30/2019,1
03/31/2019,1
05/01/2019,10
05/02/2019,10
05/03/2019,10
05/04/2019,10
05/05/2019,10
05/06/2019,10
05/07/2019,10
05/08/2019,10
05/09/2019,10
05/10/2019,10
05/11/2019,10
05/12/2019,10
05/13/2019,10
05/14/2019,10
05/15/2019,10
05/16/2019,10
05/17/2019,10
05/18/2019,10
05/19/2019,10
05/20/2019,10
05/21/2019,10
05/22/2019,10
05/23/2019,10
05/24/2019,10
05/25/2019,10
05/26/2019,10
05/27/2019,10
05/28/2019,10
05/29/2019,10
05/30/2019,10
05/31/2019,10
10/01/2019,"387,000"
10/02/2019,"387,000"
10/03/2019,"387,000"
10/04/2019,"387,000"
10/05/2019,"387,000"
10/06/2019,"387,000"
10/07/2019,"387,000"
10/08/2019,"387,000"
10/09/2019,"387,000"
10/10/2019,"387,000"
10/11/2019,"387,000"
10/12/2019,"387,000"
10/13/2019,"387,000"
10/14/2019,"387,000"
10/15/2019,"387,000"
10/16/2019,"387,000"
10/17/2019,"387,000"
10/18/2019,"387,000"
10/19/2019,"387,000"
10/20/2019,"387,000"
10/21/2019,"387,000"
10/22/2019,"387,000"
10/23/2019,"387,000"
10/24/2019,"387,000"
10/25/2019,"387,000"
10/26/2019,"387,000"
10/27/2019,"387,000"
10/28/2019,"387,000"
10/29/2019,"387,000"
10/30/2019,"387,000"
10/31/2019,"387,000"
12/01/2019,2
12/02/2019,2
12/03/2019,2
12/04/2019,2
12/05/2019,2
12/06/2019,2
12/07/2019,2
12/08/2019,2
12/09/2019,2
12/10/2019,2
12/11/2019,2
12/12/2019,2
12/13/2019,2
12/14/2019,2
12/15/2019,2
12/16/2019,2
12/17/2019,2
12/18/2019,2
12/19/2019,2
12/20/2019,2
12/21/2019,2
12/22/2019,2
12/23/2019,2
12/24/2019,2
12/25/2019,2
12/26/2019,2
12/27/2019,2
12/28/2019,2
12/29/2019,2
12/30/2019,2
12/31/2019,2
01/01/2020,2
01/02/2020,2
01/03/2020,2
01/04/2020,2
01/05/2020,2
01/06/2020,2
01/07/2020,2
01/08/2020,2
01/09/2020,2
01/10/2020,2
01/11/2020,2
01/12/2020,2
01/13/2020,2
01/14/2020,2
01/15/2020,2
01/16/2020,2
01/17/2020,2
01/18/2020,2
01/19/2020,2
01/20/2020,2
01/21/2020,2
01/22/2020,2
01/23/2020,2
01/24/2020,2
01/25/2020,2
01/26/2020,2
01/27/2020,2
01/28/2020,2
01/29/2020,2
01/30/2020,2
01/31/2020,2
02/01/2020,"21,000"
02/02/2020,"21,000"
02/03/2020,"21,000"
02/04/2020,"21,000"
02/05/2020,"21,000"
02/06/2020,"21,000"
02/07/2020,"21,000"
02/08/2020,"21,000"
02/09/2020,"21,000"
02/10/2020,"21,000"
02/11/2020,"21,000"
02/12/2020,"21,000"
02/13/2020,"21,000"
02/14/2020,"21,000"
02/15/2020,"21,000"
02/16/2020,"21,000"
02/17/2020,"21,000"
02/18/2020,"21,000"
02/19/2020,"21,000"
02/20/2020,"21,000"
02/21/2020,"21,000"
02/22/2020,"21,000"
02/23/2020,"21,000"
02/24/2020,"21,000"
02/25/2020,"21,000"
02/26/2020,"21,000"
02/27/2020,"21,000"
02/28/2020,"21,000"
02/29/2020,"21,000"
04/01/2020,"21,000"
04/02/2020,"21,000"
04/03/2020,"21,000"
04/04/2020,"21,000"
04/05/2020,"21,000"
04/06/2020,"21,000"
04/07/2020,"21,000"
04/08/2020,"21,000"
04/09/2020,"21,000"
04/10/2020,"21,000"
04/11/2020,"21,000"
04/12/2020,"21,000"
04/13/2020,"21,000"
04/14/2020,"21,000"
04/15/2020,"21,000"
04/16/2020,"21,000"
04/17/2020,"21,000"
04/18/2020,"21,000"
04/19/2020,"21,000"
04/20/2020,"21,000"
04/21/2020,"21,000"
04/22/2020,"21,000"
04/23/2020,"21,000"
04/24/2020,"21,000"
04/25/2020,"21,000"
04/26/2020,"21,000"
04/27/2020,"21,000"
04/28/2020,"21,000"
04/29/2020,"21,000"
04/30/2020,"21,000"
05/01/2020,"10,242"
05/02/2020,"10,242"
05/03/2020,"10,242"
05/04/2020,"10,242"
05/05/2020,"10,242"
05/06/2020,"10,242"
05/07/2020,"10,242"
05/08/2020,"10,242"
05/09/2020,"10,242"
05/10/2020,"10,242"
05/11/2020,"10,242"
05/12/2020,"10,242"
05/13/2020,"10,242"
05/14/2020,"10,242"
05/15/2020,"10,242"
05/16/2020,"10,242"
05/17/2020,"10,242"
05/18/2020,"10,242"
05/19/2020,"10,242"
05/20/2020,"10,242"
05/21/2020,"10,242"
05/22/2020,"10,242"
05/23/2020,"10,242"
05/24/2020,"10,242"
05/25/2020,"10,242"
05/26/2020,"10,242"
05/27/2020,"10,242"
05/28/2020,"10,242"
05/29/2020,"10,242"
05/30/2020,"10,242"
05/31/2020,"10,242"
06/01/2020,1
06/02/2020,1
06/03/2020,1
06/04/2020,1
06/05/2020,1
06/06/2020,1
06/07/2020,1
06/08/2020,1
06/09/2020,1
06/10/2020,1
06/11/2020,1
06/12/2020,1
06/13/2020,1
06/14/2020,1
06/15/2020,1
06/16/2020,1
06/17/2020,1
06/18/2020,1
06/19/2020,1
06/20/2020,1
06/21/2020,1
06/22/2020,1
06/23/2020,1
06/24/2020,1
06/25/2020,1
06/26/2020,1
06/27/2020,1
06/28/2020,1
06/29/2020,1
06/30/2020,1
07/01/2020,"68,299"
07/02/2020,"68,299"
07/03/2020,"68,299"
07/04/2020,"68,299"
07/05/2020,"68,299"
07/06/2020,"68,299"
07/07/2020,"68,299"
07/08/2020,"68,299"
07/09/2020,"68,299"
07/10/2020,"68,299"
07/11/2020,"68,299"
07/12/2020,"68,299"
07/13/2020,"68,299"
07/14/2020,"68,299"
07/15/2020,"68,299"
07/16/2020,"68,299"
07/17/2020,"68,299"
07/18/2020,"68,299"
07/19/2020,"68,299"
07/20/2020,"68,299"
07/21/2020,"68,299"
07/22/2020,"68,299"
07/23/2020,"68,299"
07/24/2020,"68,299"
07/25/2020,"68,299"
07/26/2020,"68,299"
07/27/2020,"68,299"
07/28/2020,"68,299"
07/29/2020,"68,299"
07/30/2020,"68,299"
07/31/2020,"68,299"
08/01/2020,"129,000"
08/02/2020,"129,000"
08/03/2020,"129,000"
08/04/2020,"129,000"
08/05/2020,"129,000"
08/06/2020,"129,000"
08/07/2020,"129,000"
08/08/2020,"129,000"
08/09/2020,"129,000"
08/10/2020,"129,000"
08/11/2020,"129,000"
08/12/2020,"129,000"
08/13/2020,"129,000"
08/14/2020,"129,000"
08/15/2020,"129,000"
08/16/2020,"129,000"
08/17/2020,"129,000"
08/18/2020,"129,000"
08/19/2020,"129,000"
08/20/2020,"129,000"
08/21/2020,"129,000"
08/22/2020,"129,000"
08/23/2020,"129,000"
08/24/2020,"129,000"
08/25/2020,"129,000"
08/26/2020,"129,000"
08/27/2020,"129,000"
08/28/2020,"129,000"
08/29/2020,"129,000"
08/30/2020,"129,000"
08/31/2020,"129,000"
09/01/2020,"151,800"
09/02/2020,"151,800"
09/03/2020,"151,800"
09/04/2020,"151,800"
09/05/2020,"151,800"
09/06/2020,"151,800"
09/07/2020,"151,800"
09/08/2020,"151,800"
09/09/2020,"151,800"
09/10/2020,"151,800"
09/11/2020,"151,800"
09/12/2020,"151,800"
09/13/2020,"151,800"
09/14/2020,"151,800"
09/15/2020,"151,800"
09/16/2020,"151,800"
09/17/2020,"151,800"
09/18/2020,"151,800"
09/19/2020,"151,800"
09/20/2020,"151,800"
09/21/2020,"151,800"
09/22/2020,"151,800"
09/23/2020,"151,800"
09/24/2020,"151,800"
09/25/2020,"151,800"
09/26/2020,"151,800"
09/27/2020,"151,800"
09/28/2020,"151,800"
09/29/2020,"151,800"
09/30/2020,"151,800"
12/01/2020,17
12/02/2020,17
12/03/2020,17
12/04/2020,17
12/05/2020,17
12/06/2020,17
12/07/2020,17
12/08/2020,17
12/09/2020,17
12/10/2020,17
12/11/2020,17
12/12/2020,17
12/13/2020,17
12/14/2020,17
12/15/2020,17
12/16/2020,17
12/17/2020,17
12/18/2020,17
12/19/2020,17
12/20/2020,17
12/21/2020,17
12/22/2020,17
12/23/2020,17
12/24/2020,17
12/25/2020,17
12/26/2020,17
12/27/2020,17
12/28/2020,17
12/29/2020,17
12/30/2020,17
12/31/2020,17
